,date,calories,total_fat_g,protein_g,saturated_fat_g,cholesterol_mg,sodium_mg,carbohydrate_g,fiber_g,sugar_g,vitamin_d_iu,calcium_mg,potassium_mg,iron_mg
0,2002-04-01,78227.0,1138720788.674,1231641944.366,218865638.1,-1183977814.0,12407634704.6,14382445497.358,1045941663.688,3102715262.612,-215960730.6,4630866320.28,43800059478.46,662572703.548
1,2002-07-01,61379.0,591780512.918,328444661.984,89091676.89999999,-637879192.0,5399975051.46,3543975371.288,341660907.03000003,1456502714.532,-95453055.5,2062169827.8,18042998807.61,139971458.256
2,2002-10-01,84691.0,1554703003.503,628065643.049,335003205.90000004,-2066507550.0,16252110139.48,10790627418.317999,428992241.44,4598314138.243,-291665852.7,4268252329.51,23008086968.21,370035958.784
3,2003-01-01,87643.0,2196165928.189,1068928760.891,550763118.3,-919941066.0,25448350118.16,12896787257.358,754207056.0799999,4037249889.493,678120278.6,5373822495.690001,36109693120.07,533128475.088
4,2003-04-01,92084.0,3274309926.053,1971870904.802,653941417.2,-3444640777.0,41917392933.26,19826793960.606,1535061014.487,4624980541.616,-377134957.6,8155090671.38,68133272436.649994,943175672.0879999
5,2003-07-01,63133.0,718852577.123,645529259.687,141763176.8,-669131187.0,7213296018.38,6551553501.7109995,587316928.0699999,1191829619.7940001,-78230262.4,2362862363.06,23186958186.54,317059031.89
6,2003-10-01,84415.0,2093932518.967,1055809684.1470001,491903170.6,-1095909259.0,34166989163.84,11730050534.038,752195513.53,4726568428.565,-110720695.6,6577240145.85,37916775349.15,455492148.976
7,2004-01-01,85761.0,1483947789.68,997000883.4560001,325778877.4,-2167287632.0,23305247962.440002,13013313265.781,735192152.032,4340746045.097,-244846845.2,5251608744.85,37355911515.72,533990877.654
8,2004-04-01,97586.0,2840565252.0559998,2252026577.7860003,579259721.5,-2074781016.0,39515393284.04,24601603339.759,1719488574.986,6878408951.005,-1182566962.9,13151239119.45,81320743120.48,1135136006.5740001
9,2004-07-01,66019.0,614040621.396,412033970.74700004,142811735.8,-678390775.0,6538107816.72,4775238368.27,320328281.38699996,1145721976.665,-93922738.0,1820197417.43,13440051902.970001,211088248.11600003
10,2004-10-01,87590.0,1858872430.458,1222661283.905,439938968.0,-465990312.0,24240464848.82,13105325678.674002,850461560.187,3736279528.595,-330390575.3,6881460724.41,38430091710.380005,589827335.6680001
11,2005-01-01,88675.0,1738229214.583,1101894264.4120002,444152284.9,217673743.0,28004099604.440002,12309784468.146,743443872.691,3764428436.866,303913129.9,6913220778.48,38336816968.32,554769111.5120001
12,2005-04-01,100460.0,3611855126.9249997,2426971804.11,875411129.6999999,-1200920901.0,57586574203.6,27340370404.61,1756235512.8509998,8106728312.564,-29224312.400000006,14920801754.54,84181591270.88,1219836660.828
13,2005-07-01,73031.0,707894103.5550001,672760577.701,161254598.0,-870272988.0,9685938588.380001,6434602099.121,585924126.176,1233545892.59,-141378438.3,3379814293.1800003,26551029439.24,319019628.222
14,2005-10-01,87325.0,1638850952.767,1008026039.461,419383527.6,-525694463.0,37844695445.46,11142438531.122,679162051.3199999,4377193433.559,320556166.5,9477248841.71,47343719627.74,499510673.312
15,2006-01-01,92515.0,1742784855.371,1326712831.441,432323518.7,-651978497.0,32673228003.28,15080551558.553999,906065500.376,4621569396.787,-33756372.8,8720801656.07,46750930186.83,689006642.48
16,2006-04-01,99080.0,2849593425.628,2336643196.231,594068262.8,-1742598181.0,49036920083.66,27233171674.52,1685672267.291,8915355465.375,-166234714.0,15999434069.09,86426088104.06,1209034201.588
17,2006-07-01,65594.0,549360553.608,548501039.311,151214126.0,-174795659.0,11443123266.86,5611937801.190001,421477992.839,1610678223.417,-14545348.3,3064274360.91,18919560327.5,249884505.932
18,2006-10-01,96003.0,1701247487.6469998,794482685.147,443794242.1,-1134951150.0,25450498830.7,9591682167.133,484497187.746,4263079563.632,143478839.3,7698992404.52,30300842603.579998,375180930.938
19,2007-01-01,95041.0,2214684810.074,1218877489.666,491252790.6,-206727426.0,27882779352.92,14230558691.118,818001255.6479999,4639470934.908,20035598.7,8655548540.24,42628719508.26,633207108.636
20,2007-04-01,104723.0,2991456655.87,2531774180.035,730098949.6,-2139975328.0,44521487261.4,28921835634.244995,1866869113.205,8105072580.04,-241109966.1,14615808744.7,87183376179.54999,1284373935.8300002
21,2007-07-01,72455.0,530144538.557,465931994.51100004,134559178.79999998,-178236162.0,9388559103.380001,5148010135.276999,315585301.596,1230966841.064,-34188867.5,2320762714.16,14578935389.12,227023081.49800003
22,2007-10-01,97209.0,1770584788.727,686255887.615,508911575.9,-745889837.0,29452096681.760002,8340003139.966,380571179.79399997,3800912577.493,-53707780.300000004,7062838005.57,24403810695.15,323940062.012
23,2008-01-01,98404.0,1652300220.401,1320487979.349,447385716.0,-527723465.0,24406274413.440002,14358936380.702,958952569.066,3944827167.951,-53902451.5,7388590533.75,43465186131.81,635354264.58
